연도,구분,요양급여(원),휴업급여,상병보상연금,장해급여(일시금및연금),유족급여(일시금및연금),장례비,간병급여,재활급여
2012,전산업,7.18017E+11,7.24162E+11,1.95211E+11,1.71296E+12,4.07498E+11,23259205560,51682184890,18500327120
2012,금융및보험업,3333985880,1954668270,1400097190,10673748450,8047039150,178036670,625262150,71388790
2012,광업,78022189820,27357091210,71461694150,1.17715E+11,68628267200,3939555060,1078256690,58651150
2012,제조업,2.35013E+11,2.78793E+11,36152637750,6.13219E+11,1.10816E+11,6375295810,13416879460,8953219570
2012,전기·가스및상수도사업,1325400360,720419170,1102329810,5097078690,2982420310,25318640,309464410,16251980
2012,건설업,1.99011E+11,2.49538E+11,54828130690,6.48269E+11,1.05884E+11,6554429780,17384220740,4374166480
2012,운송·창고및통신업,38289751370,29110025130,8403251390,79986850210,27058550910,1499195910,5729821430,712912180
2012,임업,9104682450,13878811820,357952340,12140636700,3752523900,314271750,317851900,60188330
2012,어업,342376090,299049610,53896650,932206020,356084760,8794710,32654520,0
2012,농업,3309039860,2861985930,271980770,3799324810,1521644370,143175620,162682670,24607910
2012,기타의사업,1.50265E+11,1.19649E+11,21179134150,2.21125E+11,78451310100,4221131610,12625090920,4228940730
2013,전산업,7.23328E+11,7.31329E+11,1.69397E+11,1.62903E+12,4.41922E+11,24834954960,55193235340,20402560990
2013,금융및보험업,3664993920,2043692060,1312979410,9195356410,8815077410,272627570,609834590,43674960
2013,광업,76871975730,24677388570,68309033480,1.23361E+11,79451795990,4793059910,1202482420,47974760
2013,제조업,2.31534E+11,2.76378E+11,33963927620,5.97117E+11,1.15842E+11,5912300020,14512450740,9796512900
2013,전기·가스및상수도업,2011670650,865454330,564007640,5045837030,3268024450,61758260,319430780,16181960
2013,건설업,1.98504E+11,2.4396E+11,38719875140,5.73956E+11,1.18834E+11,7534624680,18621556480,4999327900
2013,운송·창고및통신업,38802428080,30806094220,7260525210,80633371570,28810408010,1502763630,6160046550,787107320
2013,임업,9129970140,14094810080,357755000,11681840260,3512020300,257373540,341427580,72599300
2013,어업,430118430,342776660,55610090,1021418790,366010650,9300770,59164250,7448640
2013,농업,3825726900,3308005940,306297190,4128290330,1485388800,84898900,184223530,37536810
2013,기타의사업,1.58554E+11,1.34853E+11,18547435870,2.22887E+11,81536299680,4406247680,13182618420,4594196440
2014,전산업,7.40574E+11,7.79382E+11,1.66516E+11,1.66722E+12,4.76889E+11,24476600250,54670911040,16832159890
2014,금융및보험업,4499957860,2098855990,1562536400,9986886920,8965163080,200708010,605209790,38902580
2014,광업,77049051150,26717925670,62708060210,1.38656E+11,87075277960,5197812520,1170121710,29312190
2014,제조업,2.303E+11,2.86816E+11,34699529890,6.06871E+11,1.25088E+11,5676581840,14640482280,8344864600
2014,전기·가스및상수도업,1591690840,778561390,601521080,4870719730,3541681540,104504620,330105030,13606440
2014,건설업,2.07724E+11,2.73444E+11,39732538230,5.87793E+11,1.24148E+11,6753744560,18407799760,3544553150
2014,운송·창고및통신업,46339209190,30351103630,7053113300,80802971380,30583932070,1413760410,5958556760,634515200
2014,임업,8762210100,14488971610,469253690,12151391850,4409651030,409684780,389011930,39769400
2014,어업,573613010,461759170,64955870,935526620,558749080,32218280,34199880,8708520
2014,농업,3974620540,3481599710,312006730,4175641910,2219674780,161853460,189185520,85164780
2014,기타의사업,1.5976E+11,1.40744E+11,19312065110,2.20976E+11,90298868000,4525731770,12946238380,4092763030
2015,전산업,7.83256E+11,8.16881E+11,1.62572E+11,1.71078E+12,5.08938E+11,24344043780,57278868680,14964677760
2015,금융및보험업,3998907640,2001159420,1526289410,10118219990,9618891250,168736480,705969910,28403290
2015,광업,79022382130,32490316930,56859795530,1.5592E+11,90576165560,5638663840,1182770740,40926840
2015,제조업,2.41757E+11,2.88059E+11,35016860090,6.18827E+11,1.33058E+11,5551959390,15471152440,7460597190
2015,전기·가스및상수도업,1518051630,764112110,676782420,5267830530,4150136270,75547200,345537350,23383140
2015,건설업,2.26951E+11,2.93005E+11,40725398840,5.97016E+11,1.35559E+11,6837036730,19290558950,3351037630
2015,운송·창고및통신업,41425226920,32976248710,7237064330,83241338980,33590999860,1571080720,6073927430,747810350
2015,임업,9495533520,14802173600,556818360,11440823840,4234741050,271372240,370904780,55474860
2015,어업,546969860,361378750,107289440,947117320,480366320,9539140,35847760,0
2015,농업,4429500400,3854463380,327376180,4453036330,2013021680,120475740,174231500,112113570
2015,기타의사업,1.74112E+11,1.48567E+11,19537991100,2.23552E+11,95657097020,4099632300,13627967820,3144930890
2016,전산업,8.38072E+11,8.76672E+11,1.58877E+11,1.7725E+12,5.38713E+11,24917522010,56058078920,14241968980
2016,금융및보험업,4084341330,1807932280,1591361210,9803149020,10508238050,157982890,680544060,18324720
2016,광업,87067390470,30190045300,52118577610,1.72842E+11,92238718890,5047701070,1109808760,29959200
2016,제조업,2.46574E+11,2.91746E+11,35444039520,6.33833E+11,1.42451E+11,5599749050,15327049040,6928664880
2016,전기·가스및상수도업,1585975510,748430990,713628090,4985734760,3695959510,69980300,312610080,1648640
2016,건설업,2.60054E+11,3.40183E+11,41295239790,6.29409E+11,1.47318E+11,8109147390,19118985440,3396239070
2016,운송·창고및통신업,43768522320,34373994650,7188779270,82103238580,36414112450,1550113130,5698005450,400875030
2016,임업,9353304770,14470763550,578252800,11731358590,4243495720,222993860,366042460,35419210
2016,어업,653823300,301592190,116939160,967209340,429652990,28578280,43808490,0
2016,농업,5340188570,4892757960,351955240,4352461730,1779841440,56041660,153483810,73116440
2016,기타의사업,1.7959E+11,1.57958E+11,19478203020,2.22476E+11,99633741890,4075234380,13247741330,3357721790
2017,전산업,8.43741E+11,9.21179E+11,1.5264E+11,1.83257E+12,5.89255E+11,27750762350,54897259440,14007298750
2017,금융및보험업,4771831120,2177808060,1622233950,10875299180,12216684970,368962680,669588100,6294510
2017,광업,84461159700,31332163940,47421917300,1.92758E+11,1.02283E+11,6413305090,1109252650,29750120
2017,제조업,2.45951E+11,2.97687E+11,35089281770,6.58224E+11,1.50863E+11,5924367370,15079463990,6936436700
2017,전기·가스및상수도업,1706111610,606268200,667802240,5107417330,4011560860,66603370,326922470,28049020
2017,건설업,2.65782E+11,3.63594E+11,40121775050,6.41492E+11,1.65034E+11,8536482930,18696043670,2943344870
2017,운송·창고및통신업,43644160980,35742647290,6915280500,82530800460,38764106020,1541339590,5578900780,456943460
2017,임업,8134335320,13176622540,589344700,10336828990,4239124920,233509410,331809670,33972820
2017,어업,521383260,288539630,108377740,874329570,678522490,31128450,55130280,3799950
2017,농업,4981914720,4461746210,421242380,4489828460,1961946480,93409360,171387260,65514720
2017,기타의사업,1.83786E+11,1.72112E+11,19682270280,2.25879E+11,1.09204E+11,4541654100,12878760570,3503192580
2018,전산업,1.01514E+12,1.10741E+12,1.54101E+11,1.99876E+12,6.56225E+11,32267572690,54966320990,14827690500
2018,금융및보험업,6428678660,2533572390,1947860630,11530168210,12461978620,286014140,691770620,16412040
2018,광업,91938585430,41350908180,48239120240,2.84516E+11,1.18008E+11,6998649510,1071475290,36754620
2018,제조업,2.92802E+11,3.448E+11,34265293090,6.86864E+11,1.66225E+11,6815040740,15205652940,7298004100
2018,전기·가스및상수도업,1678344270,705906470,562683300,5252747590,4500188530,97137390,334274070,12509990
2018,건설업,3.13288E+11,4.13936E+11,39989289520,6.68856E+11,1.77314E+11,9132040610,18814133570,3608121500
2018,운송·창고및통신업,54347354350,48594406400,7198095490,86542887740,42775370540,1955536710,5588612020,480009940
2018,임업,9099105090,13092947330,628963100,10484877920,4700683000,232858310,318952980,36744880
2018,어업,780359840,575075590,104453570,993827890,600796180,32960620,48145100,0
2018,농업,5467912170,5258325020,410500230,4901220130,3027399500,269881760,176565260,83075860
2018,기타의사업,2.39308E+11,2.36558E+11,20754371780,2.38815E+11,1.26612E+11,6447452900,12716739140,3256057570
2019,전산업,1.08508E+12,1.31908E+12,1.4872E+11,2.15773E+12,7.10174E+11,31838396980,53633134910,23108208390
2019,금융및보험업,5706976080,2912651860,2041291860,12553586610,13062309120,234740100,681107550,32426290
2019,광업,90276548280,47091080730,41194035050,3.04029E+11,1.18806E+11,6057330390,1027379680,138565260
2019,제조업,3.12458E+11,4.08421E+11,33818764430,7.35126E+11,1.86449E+11,7573054450,14840147930,9376236320
2019,전기·가스및상수도업,1917511250,714183970,619432140,5289663710,5428107530,107138900,332013310,3600000
2019,건설업,3.25693E+11,4.60723E+11,41061898870,7.18938E+11,1.90015E+11,8520262460,18465333060,7195157320
2019,운송·창고및통신업,61361759120,63816759550,7305116090,93277091880,46900785000,2076489070,5461267490,886459300
2019,임업,8375612920,14192520440,645284230,11116959200,5142689570,263252650,272322670,63489340
2019,어업,692002840,725525710,112079170,998428560,516176400,24237760,44412430,0
2019,농업,6042438150,5977071560,434116860,4810481740,2621793050,123518740,176582550,157221400
2019,기타의사업,2.72552E+11,3.1451E+11,21487597680,2.71585E+11,1.41231E+11,6858372460,12332568240,5255053160
2020,전산업,1.30981E+12,1.41334E+12,1.46043E+11,2.25795E+12,7.61244E+11,34179214710,52002578710,22252810240
2020,금융및보험업,6726558420,3332036260,1988986030,13121803050,15021489830,267863580,714560490,5350900
2020,광업,1.01397E+11,46891381430,37067766660,3.25681E+11,1.26357E+11,6548794820,935921250,39150390
2020,제조업,3.77256E+11,4.59561E+11,34058499300,7.67861E+11,1.96217E+11,7491076220,14552762320,7556469810
2020,전기·가스및상수도업,2280735850,997521390,621136680,5694093760,5764893070,168704750,314692330,11985470
2020,건설업,3.83678E+11,4.71987E+11,42540003410,7.4278E+11,2.06986E+11,9814404680,17934462750,7349724790
2020,운송·창고및통신업,76647574170,72568258830,6961245480,97742240430,50836686330,2236249800,5241083720,1017230540
2020,임업,9983539960,15225423960,611293120,11509352010,5772156550,281354470,260640140,88692680
2020,어업,514418800,531781940,115290740,1167335340,536772720,25681820,41328070,6292740
2020,농업,7594494190,6510129590,476888780,5170041710,2787109440,176547330,190897390,178068320
2020,기타의사업,3.43731E+11,3.35736E+11,21601820170,2.8722E+11,1.50966E+11,7168537240,11816230250,5999844600
2021,전산업,1.36068E+12,1.58396E+12,1.43921E+11,2.43453E+12,8.2177E+11,34780558390,52581988650,20716789900
2021,금융및보험업,7492167330,4264584600,2004154870,13777054330,15359297950,357908180,712809950,12381170
2021,광업,98587092050,46823064170,33512455970,3.66344E+11,1.2888E+11,5485674630,858722450,52264190
2021,제조업,3.90547E+11,5.04886E+11,33735740090,8.24467E+11,2.1432E+11,8362852480,14737830380,7674674500
2021,전기·가스및상수도업,2260407330,1224219770,595923320,5906057410,5380338760,59507840,323795630,0
2021,건설업,3.99639E+11,5.32665E+11,43593346870,7.9159E+11,2.25048E+11,10075780840,18055298880,6658865620
2021,운송·창고및통신업,84418309480,94768855750,6697596990,1.05539E+11,55297763080,2248523200,5430162860,1105058230
2021,임업,11087712930,16744702970,594176050,11809311170,6093274380,200314180,292710280,97252940
2021,어업,882860560,783220020,138103090,1342717520,511114610,35215850,37207800,23099690
2021,농업,7163332710,7060064730,448902350,5430211200,3049322660,160943280,157922260,100873250
2021,기타의사업,3.586E+11,3.74744E+11,22600973870,3.08323E+11,1.67831E+11,7793837910,11975528160,4992320310
2022,전산업,1.31646E+12,1.6934E+12,1.37078E+11,2.54483E+12,8.85043E+11,38765390840,50618196560,20300338470
2022,금융및보험업,8000231010,5454840760,2107919940,13941082140,17291108520,289404250,710778610,27083070
2022,광업,92669879770,50990439660,29360277290,3.69031E+11,1.40369E+11,7433404610,813019590,83918100
2022,제조업,3.7899E+11,5.22835E+11,32498571890,8.69338E+11,2.32198E+11,8478184670,14203242860,7336430340
2022,전기·가스및상수도업,2131678660,1237824390,534673310,5949747430,5527373870,50327250,304492360,0
2022,건설업,3.86458E+11,5.75478E+11,42759213310,8.3812E+11,2.37833E+11,10467200950,17491324860,6311416880
2022,운송·창고및통신업,91015100530,1.15987E+11,6045892520,1.11193E+11,62626544630,3024889570,5107068280,1099522590
2022,임업,10332452960,16652217730,727485290,12069481350,6503234800,226511380,259764620,125544730
2022,어업,789868620,680047190,156633220,1082239000,409138400,12505590,36989250,0
2022,농업,7875680480,7660695850,497942950,5612112170,3624679060,226727580,174953260,163379980
2022,기타의사업,3.38194E+11,3.96424E+11,22389623220,3.18489E+11,1.78661E+11,8556234990,11516562870,5153042780
2023,전산업,1.51868E+12,1.86478E+12,1.43857E+11,2.69954E+12,9.44683E+11,36299621150,51527285660,25577427960
2023,금융및보험업,8306753200,5528635950,2339216120,14930095380,18777688270,355812940,679762900,47358060
2023,광업,93111514850,50369029560,28320305420,3.22573E+11,1.47235E+11,7092603410,807230590,300936350
2023,제조업,4.33802E+11,5.7239E+11,34473567770,9.40085E+11,2.48436E+11,8312810970,14532186700,9605741210
2023,전기·가스및상수도업,2553928760,1050126940,464555010,7076978210,6193397740,61147640,311159840,0
2023,건설업,4.31112E+11,6.18264E+11,45881442970,9.26239E+11,2.53209E+11,9434970240,18195038760,7208051750
2023,운송·창고및통신업,1.15578E+11,1.35138E+11,6831633730,1.17937E+11,66294757400,3152470540,4972616490,1362372560
2023,임업,12342009250,18541185470,976274400,13463633260,6847009080,262227060,274391630,48221840
2023,어업,983827780,565597500,174431440,1320894130,1011526370,55727530,37035610,0
2023,농업,7917836790,7452566380,531126810,6589044170,3692418340,193526860,183988980,209198380
2023,기타의사업,4.12977E+11,4.55478E+11,23864207250,3.49321E+11,1.92986E+11,7378323960,11533874160,6795547810
2024,전산업,1.46294E+12,1.92606E+12,1.27725E+11,2.97172E+12,1.02741E+12,38837210830,47902974050,30714594660
2024,금융및보험업,7697943600,6759948140,2130141380,16336634220,21052878000,490075000,591461460,107011200
2024,광업,89712657360,66924618140,23660301300,3.29433E+11,1.5539E+11,7670102320,705483840,312233860
2024,제조업,3.97566E+11,5.64287E+11,30806867280,9.94452E+11,2.73139E+11,8541462440,13516464800,11422189480
2024,전기·가스및상수도업,1694299120,1404089730,402225930,6759403380,7372729840,148503150,285603320,18625580
2024,건설업,4.19313E+11,6.39625E+11,40992194120,1.07879E+12,2.76031E+11,9998036600,16989834040,8737822720
2024,운송·창고및통신업,1.29754E+11,1.48512E+11,6549966810,1.38239E+11,74577060600,3686445490,4497783380,2091712460
2024,임업,11209863520,17304871490,887550910,15994119460,7264394240,305049590,308056670,124816050
2024,어업,621649630,612621200,164842120,978635320,627112720,24920320,36569100,5400000
2024,농업,6855140740,7406829030,415424320,7031118510,4685569380,241639130,182389390,223593360
2024,기타의사업,3.98519E+11,4.73226E+11,21715458420,3.83704E+11,2.07272E+11,7730976790,10789328050,7671189950
